    663 25/tcp open  smtp?   syn-ack
    240 25/tcp open  smtp    syn-ack Postfix smtpd
    206 25/tcp open  smtp    syn-ack Exim smtpd 4.69
    174 25/tcp open  tcpwrapped syn-ack
    151 25/tcp open  smtp    syn-ack
     96 25/tcp open  smtp    syn-ack Microsoft ESMTP 6.0.3790.4675
     78 25/tcp open  smtp    syn-ack qmail smtpd
     77 25/tcp open  smtp    syn-ack netqmail smtpd 1.04
     40 25/tcp open  smtp    syn-ack BorderWare firewall smtpd
     22 25/tcp open  smtp    syn-ack Microsoft ESMTP
     21 25/tcp open  smtp    syn-ack Microsoft ESMTP 6.0.3790.3959
     19 25/tcp open  smtp    syn-ack Cisco PIX sanitized smtpd
     18 25/tcp open  smtp    syn-ack Sendmail 8.13.8/8.13.8
     14 25/tcp open  smtp    syn-ack Access Remote PC smtpd
     13 25/tcp open  smtp    syn-ack Exim smtpd 4.72
     11 25/tcp open  smtp    syn-ack hMailServer smtpd
     11 25/tcp open  smtp    syn-ack Exim smtpd 4.63
     10 25/tcp open  smtp    syn-ack Exim smtpd
      9 25/tcp open  smtp    syn-ack Exim smtpd 4.X
      8 25/tcp open  smtp    syn-ack Sendmail 8.13.1/8.13.1
      8 25/tcp open  smtp    syn-ack Sendmail (Not accepting mail)
      8 25/tcp open  smtp    syn-ack Exim smtpd 4.67
      7 25/tcp open  smtp    syn-ack Sendmail 8.9.3/8.9.3
      6 25/tcp open  smtp    syn-ack Sendmail 8.14.3/8.14.3
      6 25/tcp open  smtp    syn-ack Microsoft ESMTP 6.0.2600.5949
      6 25/tcp open  smtp    syn-ack Microsoft ESMTP 5.0.2195.7381
      6 25/tcp open  smtp    syn-ack Microsoft ESMTP 5.0.2195.5329
      5 25/tcp open  smtp    syn-ack IronPort smtpd
      5 25/tcp open  smtp    syn-ack Barracuda Networks Spam Firewall smtpd
      4 25/tcp open  smtp-proxy syn-ack ESET NOD32 anti-virus smtp proxy
      4 25/tcp open  smtp    syn-ack Sendmail 8.13.6/8.13.1
      4 25/tcp open  smtp    syn-ack Sendmail 8.12.6/8.12.6
      4 25/tcp open  smtp    syn-ack Sendmail 8.11.6
      4 25/tcp open  smtp    syn-ack Microsoft ESMTP 6.0.3790.1830
      4 25/tcp open  smtp    syn-ack MailEnable smptd 1.986--
      3 25/tcp open  smtp    syn-ack Sendmail 8.14.4/8.14.4
      3 25/tcp open  smtp    syn-ack Sendmail 8.12.11/8.12.11
      3 25/tcp open  smtp    syn-ack Sendmail 8.12.11.20060308/8.12.11
      3 25/tcp open  smtp    syn-ack Microsoft ESMTP 7.0.6002.18222
      3 25/tcp open  smtp    syn-ack Microsoft ESMTP 5.0.2195.6713
      3 25/tcp open  smtp    syn-ack Exim smtpd 4.71
      3 25/tcp open  smtp    syn-ack Exim
      2 25/tcp open  smtp-proxy syn-ack spamd smtpd
